Ticker,Earning Date,^GSPC,^GSPC_pctchange_5,^GSPC_pctchange_21,^GSPC_pctchange_yoy,^RUT,^RUT_pctchange_5,^RUT_pctchange_21,^RUT_pctchange_yoy,^VIX,^VIX_pctchange_5,^VIX_pctchange_21,^VIX_pctchange_yoy,GC=F,GC=F_pctchange_5,GC=F_pctchange_21,GC=F_pctchange_yoy,CL=F,CL=F_pctchange_5,CL=F_pctchange_21,CL=F_pctchange_yoy,^TNX,^TNX_pctchange_5,^TNX_pctchange_21,^TNX_pctchange_yoy,^FVX,^FVX_pctchange_5,^FVX_pctchange_21,^FVX_pctchange_yoy
AAL,2016-10-20,2141.34,0.41,-1.01,4.33,1219.79,0.33,-2.03,5.65,13.75,-17.62,3.38,-4.84,1265.6,0.84,-3.66,8.79,50.43,-0.02,16.09,13.07,1.75,-2.62,8.17,-22.11,1.24,-3.04,7.81,-27.65
AAL,2017-01-27,2294.69,1.03,1.14,18.27,1370.7,1.39,-0.51,32.39,10.58,-8.32,-11.76,-47.62,1188.1,-1.35,4.47,6.5,53.17,1.43,-1.35,60.05,2.48,0.57,1.43,35.57,1.94,0.05,0.36,52.96
AAL,2017-04-27,2388.77,1.4,1.28,15.08,1417.13,2.38,3.65,24.27,10.36,-26.78,-10.15,-31.93,1263.7,-1.42,0.67,1.73,48.97,-2.59,1.24,11.19,2.3,2.64,-4.17,57.26,1.82,3.35,-5.7,81.72
AAL,2017-07-28,2472.1,-0.02,1.29,13.73,1429.26,-0.46,0.28,17.16,10.29,9.94,2.59,-13.31,1268.4,1.12,1.63,-4.39,49.71,8.61,11.11,18.58,2.29,2.55,-2.43,47.11,1.83,1.72,-5.13,64.66
AAL,2017-10-26,2560.4,-0.07,2.13,20.04,1497.46,-0.3,0.85,25.84,11.3,12.44,14.49,-26.43,1266.3,-1.6,-1.33,0.12,52.64,2.63,0.96,7.04,2.45,2.98,4.92,-1.01,2.07,2.43,6.98,5.45
AAL,2018-01-25,2839.25,1.47,5.81,23.62,1601.67,1.58,3.81,16.43,11.58,-5.24,16.97,8.94,1362.4,2.75,6.82,14.54,65.51,2.44,12.04,21.81,2.62,-0.61,8.98,9.85,2.42,-0.66,9.7,25.0
AAL,2018-04-26,2666.94,-0.97,2.08,11.64,1557.89,-1.01,2.93,9.93,16.24,1.75,-27.82,56.76,1316.3,-2.26,-1.86,4.16,68.19,-0.15,4.51,39.25,2.99,1.32,9.44,34.62,2.82,0.93,10.59,55.23
AAL,2018-07-26,2837.44,1.17,4.2,14.62,1695.36,-0.35,1.61,18.26,12.14,-5.67,-23.74,20.08,1225.3,0.24,-2.49,-2.72,69.61,0.22,-1.3,41.95,2.97,2.76,4.42,28.84,2.86,3.25,4.65,49.71
AAL,2018-10-25,2705.57,-2.28,-6.9,5.67,1500.4,-3.87,-11.3,0.2,24.22,20.74,87.9,114.34,1229.1,0.21,2.94,-2.94,67.33,-1.92,-5.92,27.91,3.14,-1.94,1.82,28.95,2.98,-2.36,0.68,33.39
AAL,2019-01-24,2642.33,1.0,9.34,-6.88,1464.41,0.67,13.34,-8.58,18.89,-0.79,-37.26,64.69,1279.1,-0.97,2.02,-5.66,53.13,1.57,16.54,-19.02,2.71,-1.35,-0.88,-2.66,2.55,-0.93,-1.01,-1.24
AAL,2019-04-26,2939.88,1.2,4.79,10.23,1589.9,1.54,4.45,2.05,12.73,5.29,-15.97,-21.61,1284.9,1.02,-1.91,-2.39,63.3,-1.09,6.55,-7.17,2.51,-2.15,0.32,-11.39,2.3,-3.12,-0.74,-14.91
AAL,2019-07-25,3003.67,0.29,2.96,5.54,1561.45,0.37,2.66,-7.34,12.74,-5.84,-21.74,3.66,1413.9,-0.86,-0.07,14.82,56.02,1.3,-3.13,-19.16,2.07,1.27,3.7,-33.14,1.85,2.71,5.46,-37.85
AAL,2019-10-24,3010.29,0.41,0.85,13.33,1548.49,0.43,-0.14,5.43,13.71,-0.58,-14.1,-45.66,1498.9,0.44,-0.38,22.08,56.23,4.26,-0.46,-15.85,1.77,1.09,5.43,-35.62,1.59,1.86,2.32,-38.73
AAL,2020-01-23,3325.54,1.1,3.24,25.86,1685.01,0.16,0.78,15.06,12.98,4.51,3.76,-31.29,1564.6,0.81,6.1,22.32,55.59,-3.84,-8.02,4.63,1.74,-3.81,-7.15,-26.71,1.55,-4.31,-7.33,-28.18
AAL,2020-04-30,2912.43,4.1,12.68,-0.17,1310.66,7.96,13.66,-17.19,34.15,-17.47,-36.22,136.82,1684.2,-2.83,6.37,32.65,18.84,14.18,-8.01,-69.52,0.62,4.36,5.96,-68.15,0.34,-5.22,-5.99,-80.14
AAL,2020-07-23,3235.66,0.62,3.33,7.72,1490.2,1.54,3.53,-4.56,26.08,-6.86,-16.86,104.71,1889.1,5.03,6.6,33.61,41.07,0.79,1.73,-26.69,0.58,-7.32,-8.49,-66.4,0.27,-5.67,-11.04,-83.45
AAL,2020-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2021-01-28,3787.38,-1.7,1.39,15.34,2106.61,-1.63,5.53,27.81,30.21,41.7,39.22,95.03,1837.9,-1.47,-2.09,16.07,52.34,-1.49,9.91,0.38,1.06,-3.12,15.27,66.46,0.43,-0.92,19.11,16.53
AAL,2021-04-22,4134.98,-0.85,5.74,47.79,2232.61,-1.08,2.15,83.9,18.71,12.91,-7.83,-54.78,1781.2,0.89,3.28,2.76,61.43,-3.2,6.35,272.3,1.55,-1.21,-6.39,127.19,0.8,-2.31,-6.31,153.8
AAP,2016-08-16,2178.15,-0.16,0.52,3.87,1231.13,-0.05,1.92,1.34,12.64,8.4,1.61,-8.34,1350.5,0.86,1.66,17.13,46.58,8.91,2.96,13.22,1.58,4.44,0.38,-22.36,1.16,8.22,3.39,-14.79
